Date,Household_ID,Organic_Waste_kg,Recyclable_Waste_kg,Biogas_Produced_L,Energy_Credits
2025-01-03,H001,4.56,1.23,273.60,138.90
2025-01-05,H002,7.89,3.45,552.30,283.65
2025-01-07,H003,2.34,0.67,128.70,65.85
2025-01-10,H004,6.12,2.89,367.20,189.40
2025-01-12,H005,3.78,1.12,226.80,116.40
2025-01-15,H006,8.45,4.12,591.50,303.75
2025-01-17,H007,5.67,2.34,340.20,173.80
2025-01-20,H008,4.23,1.56,253.80,129.90
2025-01-22,H009,9.12,3.78,638.40,327.70
2025-01-25,H010,1.89,0.45,113.40,57.70
2025-01-28,H011,6.78,2.67,406.80,208.40
2025-01-30,H012,3.45,1.89,207.00,106.65
2025-02-02,H013,7.23,3.12,506.10,259.55
2025-02-04,H014,5.12,2.01,307.20,157.10
2025-02-07,H015,4.89,1.78,293.40,149.70
2025-02-09,H016,8.67,4.23,607.90,311.95
2025-02-12,H017,2.67,0.89,160.20,82.10
2025-02-14,H018,6.45,2.56,387.00,197.80
2025-02-17,H019,3.12,1.34,187.20,95.60
2025-02-19,H020,7.56,3.67,529.20,271.35
2025-02-22,H021,4.78,1.89,286.80,147.40
2025-02-24,H022,5.34,2.23,320.40,164.20
2025-02-27,H023,8.23,3.45,575.10,294.65
2025-03-01,H024,2.45,0.78,147.00,75.30
2025-03-03,H025,6.89,2.89,413.40,211.90
2025-03-06,H026,3.67,1.45,220.20,112.60
2025-03-08,H027,7.12,3.12,498.40,255.20
2025-03-11,H028,4.34,1.67,260.40,133.70
2025-03-13,H029,5.78,2.34,346.80,177.40
2025-03-16,H030,8.56,4.12,599.20,307.60
2025-03-18,H031,2.89,0.89,173.40,89.10
2025-03-21,H032,6.23,2.56,373.80,191.80
2025-03-23,H033,3.45,1.34,207.00,105.60
2025-03-26,H034,7.67,3.67,536.90,275.35
2025-03-28,H035,4.89,1.89,293.40,149.70
2025-01-04,H036,5.23,2.12,313.80,160.90
2025-01-08,H037,8.12,3.78,568.40,291.70
2025-01-13,H038,2.56,0.67,153.60,78.30
2025-01-18,H039,6.45,2.89,387.00,197.80
2025-01-23,H040,3.78,1.45,226.80,116.40
2025-01-29,H041,7.89,3.45,552.30,283.65
2025-02-03,H042,4.56,1.89,273.60,138.90
2025-02-08,H043,5.67,2.34,340.20,173.80
2025-02-13,H044,8.34,4.12,583.80,299.50
2025-02-18,H045,2.34,0.78,140.40,72.30
2025-02-23,H046,6.78,2.67,406.80,208.40
2025-02-28,H047,3.12,1.34,187.20,95.60
2025-03-04,H048,7.45,3.56,521.50,267.25
2025-03-09,H049,4.23,1.67,253.80,129.70
2025-03-14,H050,5.89,2.45,353.40,181.15
